wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,period,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,actual_o2d_le_5,del_rel,delivered_vol,order_bucket
wave2_aug,79055,Costway NJ 08505,Costway,APS Outdoor,David Liu,2026-08-02,pre,1.0,4006.0,0.00024962556165751375,0.2488766849725412,0.07417582417582418,0.17482517482517482,0.9667998002995507,132.9999999999999,1.5336994508237642,0.6749875187219171,4.280941533788914,3.51575,1.0307192807192807,0.8594608087868197,0.8949076385421867,0.9218241042345277,3991.0,all
wave2_aug,87326,NeoChair TX 77507,NEO CHAIR INC,Casegoods,Karolina Coulter,2026-08-02,post,1.0,626.0,0.20287539936102236,0.19169329073482427,0.0,0.192,0.9968051118210862,2.0000000000000258,0.8769968051118211,0.6932907348242812,3.1958266452648476,2.8528,0.7296,0.9712460063897763,0.9488817891373802,0.8876404494382022,623.0,all
wave2_aug,87326,NeoChair TX 77507,NEO CHAIR INC,Casegoods,Karolina Coulter,2026-08-02,pre,1.0,1051.0,0.0009514747859181732,0.2407231208372978,0.0,0.24095238095238095,0.9476688867745005,55.00000000000003,1.1160799238820172,0.4424357754519505,3.2309178743961353,2.76930409914204,0.7857142857142857,0.9514747859181731,0.9638439581351094,0.9294566253574833,1049.0,all
wave2_aug,100349,Shenzhenshi hongyanzhiji keji CA 91761(6),HK DANSHUO TRADING LIMITED,APS,Yolanda GUI,2026-08-02,post,1.0,623.0,0.27929373996789725,0.21669341894060995,0.009630818619582664,0.20706260032102727,0.913322632423756,54.000000000000014,1.1235955056179776,0.8459069020866774,5.06873977086743,4.600969305331179,0.9951845906902087,0.695024077046549,0.6934189406099518,0.8298217179902755,617.0,all
wave2_aug,100349,Shenzhenshi hongyanzhiji keji CA 91761(6),HK DANSHUO TRADING LIMITED,APS,Yolanda GUI,2026-08-02,pre,1.0,1355.0,0.002214022140221402,0.21033210332103322,0.028044280442804426,0.18228782287822878,0.9217712177121771,106.00000000000007,1.644280442804428,0.6531365313653137,4.966367713004484,4.577121771217712,1.2206642066420663,0.6907749077490775,0.7062730627306273,0.8645447816432272,1351.0,all
wave2_aug,101813,"Zhejiang Xingyang Furniture Co.,Ltd. CA 92880","Zhejiang Xingyang Furniture Co.,Ltd.",APS,Lacey Yan,2026-08-02,post,1.0,724.0,0.22513812154696133,0.2265193370165746,0.0027662517289073307,0.22406639004149378,0.9406077348066298,42.99999999999999,1.171270718232044,0.856353591160221,6.6434540389972145,6.131396957123099,1.1507607192254494,0.31353591160220995,0.35082872928176795,0.8836565096952909,722.0,all
wave2_aug,101813,"Zhejiang Xingyang Furniture Co.,Ltd. CA 92880","Zhejiang Xingyang Furniture Co.,Ltd.",APS,Lacey Yan,2026-08-02,pre,1.0,1686.0,0.0011862396204033216,0.302491103202847,0.0017804154302670622,0.30089020771513353,0.928232502965599,121.00000000000009,1.7882562277580072,0.5160142348754448,6.819987959060807,6.298516320474778,1.256973293768546,0.34341637010676157,0.333926453143535,0.8242677824267782,1673.0,all
wave2_aug,119437,Aosom LLC CA 92374,Aosom LLC,APS Outdoor,Amber Xiang,2026-08-02,post,1.0,1862.0,0.24221267454350162,0.23576799140708915,0.0,0.2365301724137931,0.9897959183673469,19.00000000000002,1.1874328678839956,0.8651987110633728,4.613623978201635,4.153182308522115,0.7720905172413793,0.7218045112781954,0.7545649838882922,0.8845738942826321,1854.0,all
wave2_aug,119437,Aosom LLC CA 92374,Aosom LLC,APS Outdoor,Amber Xiang,2026-08-02,pre,1.0,8069.0,0.00024786218862312553,0.2603792291485934,0.0,0.2606376380101724,0.9928119965299294,58.00000000000006,1.5316643945966042,0.6720783244516049,5.3662236710130395,4.652605459057072,0.746929661332341,0.5677283430412691,0.6719543933572933,0.9198905336484637,8039.0,all
wave2_aug,119825,shanghaihuzidian NJ 07836,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,post,1.0,1713.0,0.21599532983070635,0.2574430823117338,0.07009345794392523,0.1875,0.9918272037361354,14.000000000000023,0.8995913601868067,0.7028604786923526,3.2786010669828096,2.798712697483909,0.6273364485981309,0.9171044950379451,0.9492119089316988,0.903112155020552,1703.0,all
wave2_aug,119825,shanghaihuzidian NJ 07836,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,pre,1.0,5636.0,0.000177430801987225,0.23314407381121363,0.09336173233936812,0.13986510472133476,0.9595457771469127,228.00000000000006,1.308374733853797,0.5881831085876508,3.591040462427746,2.985440340909091,0.7176073837415691,0.8830731014904187,0.9198012775017743,0.9009812667261374,5605.0,all
wave2_aug,122707,SLM TX2,YISHANG TRADE INC,APS Outdoor,Melody Lu,2026-08-02,post,1.0,782.0,0.24936061381074168,0.26982097186700765,0.0,0.2701664532650448,0.9028132992327366,76.0,1.1150895140664963,0.8836317135549873,3.647741935483871,3.3354673495518568,1.0960307298335468,0.9654731457800512,0.9475703324808185,0.8397435897435898,780.0,all
wave2_aug,122707,SLM TX2,YISHANG TRADE INC,APS Outdoor,Melody Lu,2026-08-02,pre,1.0,2272.0,0.0,0.25264084507042256,0.0008806693086745927,0.2518714222809335,0.9480633802816901,118.00000000000003,1.5400528169014085,0.6769366197183099,4.046023235031278,3.5152049360951962,1.1831792162043153,0.9115316901408451,0.9251760563380281,0.9074811863656486,2259.0,all
wave2_aug,125733,Shenzhen Zhichen Trading Co. LTD. CA 91748,Shenzhen Zhichen Trading Co. LTD.,APS K&D,Stella Yin,2026-08-02,post,1.0,512.0,0.23828125,0.21875,0.12133072407045009,0.09784735812133072,0.9765625,12.0,1.0234375,0.80859375,4.3629191321499015,3.7338551859099804,0.7318982387475538,0.82421875,0.841796875,0.8840864440078585,509.0,all
wave2_aug,125733,Shenzhen Zhichen Trading Co. LTD. CA 91748,Shenzhen Zhichen Trading Co. LTD.,APS K&D,Stella Yin,2026-08-02,pre,1.0,1521.0,0.0,0.23865877712031558,0.019749835418038184,0.21922317314022383,0.9467455621301775,81.00000000000007,1.445101906640368,0.643655489809336,5.158560959360426,4.545154911008569,0.9921000658327848,0.6785009861932939,0.7080867850098619,0.8678122934567085,1513.0,all
wave2_aug,153347,Alphamarts TX 77521(2),Alphamarts,APS Outdoor,Melody Lu,2026-08-02,post,1.0,428.0,0.2733644859813084,0.1542056074766355,0.0,0.1542056074766355,0.8341121495327103,71.0,1.1542056074766356,0.8457943925233645,3.7732696897374702,3.3661971830985915,1.091121495327103,0.927570093457944,0.9322429906542056,0.7929411764705883,425.0,all
