sto,vol_bucket,vol,ifr,delivery_rel,sto_total,pct_of_sto_vol
Cabinetry,ghost,78,0.9871794871794873,0.9102564102564104,1930,0.04041450777202073
Cabinetry,local_wrong_hub,79,0.9240506329113922,0.8227848101265822,1930,0.04093264248704663
Cabinetry,misshipping,7,0.8571428571428572,0.7142857142857143,1930,0.003626943005181347
Cabinetry,other_closer,83,0.963855421686747,0.9036144578313257,1930,0.043005181347150256
Casegoods,aligned,80044,0.9224551496676835,0.8170256359002535,171779,0.4659708113331665
Casegoods,ghost,3338,0.8478130617136013,0.734272019173158,171779,0.01943194453338301
Casegoods,local_wrong_hub,66577,0.8941376150923,0.8716523724409334,171779,0.3875735683640026
Casegoods,misshipping,3011,0.8170043175024913,0.6771836599136515,171779,0.017528335826847288
Casegoods,other_closer,18809,0.9080759211016006,0.8941995853049076,171779,0.10949533994260066
DE Furniture,aligned,3,0.33333333333333337,0.33333333333333337,96,0.03125
DE Furniture,ghost,15,0.5333333333333333,0.7333333333333333,96,0.15625
DE Furniture,local_wrong_hub,51,0.17647058823529416,0.8823529411764702,96,0.53125
DE Furniture,misshipping,4,0.25,0.25,96,0.041666666666666664
DE Furniture,other_closer,23,0.08695652173913045,0.7826086956521738,96,0.23958333333333334
Decor,aligned,111045,0.8992930793822317,0.8150119320996003,188944,0.5877138199678211
Decor,ghost,2322,0.8294573643410849,0.7230835486649456,188944,0.012289355576255398
Decor,local_wrong_hub,57289,0.876398610553508,0.8565518685960647,188944,0.3032062410026251
Decor,misshipping,4422,0.9441429217548618,0.7849389416553613,188944,0.023403759844186637
Decor,other_closer,13866,0.9173517957594106,0.877902783787684,188944,0.0733868236091117
Fireplaces & Grills,aligned,2915,0.9245283018867936,0.8085763293310452,3447,0.8456628952712504
Fireplaces & Grills,ghost,54,0.6666666666666666,0.5000000000000002,3447,0.015665796344647518
Fireplaces & Grills,local_wrong_hub,423,0.9314420803782499,0.9007092198581554,3447,0.1227154046997389
Fireplaces & Grills,misshipping,13,0.923076923076923,0.7692307692307693,3447,0.0037713954163040323
Fireplaces & Grills,other_closer,42,0.8571428571428571,0.8571428571428572,3447,0.012184508268059183
Flooring,aligned,9156,0.8557230231542149,0.7878986456968115,13856,0.660796766743649
Flooring,ghost,411,0.912408759124087,0.8637469586374698,13856,0.029662240184757507
