supplier_id,su_name,parent_suid,parent_su_name,sto,vol,ifr,delivery_rel,avg_direct_gain,avg_o2d_stated,avg_o2d_actual,avg_mi_actual_to_cust,avg_mi_assigned_to_cust,pct_constrained,top_assigned_hub,top_actual_hub,pct_of_corridor
313562,COFVIAL LTD CA 92337,304188,COFVIAL LTD,Soft Home,1,1.0,1.0,0.9407296834526057,10.0,9.0,135.0,2277.7,1.0,WEST RIALTO,Columbus,2.0784835384103757e-05
313634,Wayne Tile Company NJ 07470,47797,Wayne Tile Company,Flooring,1,1.0,1.0,0.5783881315156375,9.0,3.0,841.2,1995.2,1.0,INDUSTRY,Wayne,2.0784835384103757e-05
313371,Kiddie Furniture Inc CA 91730 (2),267364,Kiddie Furniture Inc,Plumbing,1,1.0,1.0,0.9923215898825655,7.0,7.0,17.0,2214.0,1.0,WEST RIALTO,West Columbus,2.0784835384103757e-05
313123,PINKTARO INC CA 95304,70758,PINKTARO INC,APS,1,1.0,1.0,0.9945598417408507,7.0,4.0,11.0,2022.0,0.0,TRACY LOCAL,St. Paul Local,2.0784835384103757e-05
313128,ZIYOO TRADING COMPANY LLC CA 95304,68849,ZIYOO TRADING COMPANY LLC,APS Mattresses,1,0.0,0.0,0.8758860838204203,5.0,9.0,299.4,2412.3,0.0,TRACY LOCAL,Toledo,2.0784835384103757e-05
313167,langfangyuemingqishangmaoyouxiangongsi GA 31302 ,240536,langfangyuemingqishangmaoyouxiangongsi,APS,1,1.0,1.0,0.7399991178935298,9.0,4.0,589.5,2267.3,1.0,CHINO LOCAL,King Of Prussia,2.0784835384103757e-05
313186,"Shenzhen Lesige Technology Co., Ltd. CA 91710",305442,"Lesige Technology Co., Limited",APS,1,1.0,1.0,0.8876900750836015,9.0,6.0,178.0,1584.9,1.0,CHINO LOCAL,Kansas City,2.0784835384103757e-05
313224,Chengdu Fangbo Fire Fighting Equipmen CA 91761(4),93035,"Chengdu Fangbo Fire Fighting Equipment Co., Ltd.",APS,1,0.0,1.0,0.9003808562382417,9.0,9.0,217.1,2179.3,1.0,CHINO LOCAL,Chicago,2.0784835384103757e-05
313239,"Legend Flame, LLC. CA 91752",87051,"Legend Flame, LLC.",Casegoods,1,1.0,1.0,0.9875319549715208,8.0,6.0,27.8,2229.7,1.0,WEST RIALTO,Columbus,2.0784835384103757e-05
314019, GC-WE-21,276613,huizhoushizhikaidianzishangwuyouxiangongsi,APS,1,1.0,1.0,0.9372147389513525,6.0,6.0,112.8,1796.6,1.0,WEST RIALTO,North St.Louis,2.0784835384103757e-05
