dest_region,sto,vol_direct,vol_local,o2d_direct,o2d_local,o2d_delta,ifr_direct,ifr_local,del_direct,del_local,det_direct,det_local
Northeast,Youth Furniture & Decor,605,2074,7.107438016528924,6.6352119676133166,0.4722260489156076,0.8975206611570244,0.8664416586306654,0.8413223140495866,0.7883317261330762,0.7702479338842975,0.7439729990356797
South Central,APS,6420,29213,5.4244236760124664,5.091209915041921,0.333213760970545,0.8546728971962617,0.9073700065039539,0.8176012461059196,0.7410741793037348,0.7580996884735204,0.7399103139013451
South Central,APS AEOF,785,5583,5.2394904458598734,4.960395749531914,0.27909469632795947,0.8751592356687898,0.9036360379724163,0.7961783439490446,0.7157442235357335,0.8152866242038217,0.7297152068780225
South Central,APS Bedroom,940,6560,5.007446808510637,4.896821655279314,0.11062515323132338,0.9468085106382981,0.8960365853658536,0.8382978723404255,0.7294207317073174,0.8617021276595745,0.7365853658536585
South Central,APS Decor,729,2318,5.368366340877913,5.3343996089334205,0.033966731944492956,0.897119341563786,0.9003451251078514,0.7846364883401921,0.7208800690250216,0.8532235939643347,0.7739430543572045
South Central,APS Home Improvement,2269,13860,5.16130290107002,4.9374473809308785,0.2238555201391419,0.916703393565447,0.9019480519480522,0.8483913618334061,0.7658008658008656,0.8713089466725426,0.7812409812409813
South Central,APS Housewares & More,761,3828,5.407358738501971,5.094050189420552,0.3133085490814187,0.9145860709592643,0.8983803552769066,0.7976346911957949,0.7364158829676072,0.871222076215506,0.7839602925809823
South Central,APS K&D,1169,6451,4.9093242087254065,4.821766350771736,0.08755785795367022,0.9144568006843456,0.9176871802821269,0.8229255774165952,0.7445357308944349,0.8451668092386655,0.7527515113935824
South Central,APS Mattresses,565,2746,5.060554398750651,4.873591906974785,0.18696249177586566,0.8884955752212388,0.8554260742898762,0.815929203539823,0.7126729788783687,0.8318584070796459,0.7680262199563
South Central,APS Outdoor,1718,9619,5.009167295995289,4.804985388046905,0.2041819079483842,0.9173457508731082,0.9182867241917039,0.8696158323632133,0.783345462106248,0.8247962747380675,0.7788751429462523
