supplier_id,su_name,parent_suid,parent_su_name,sto,vol_peak,ifr_peak,delivery_rel_peak,o2d_stated_peak,o2d_actual_peak,o2d_gap_peak,gain_peak,mi_to_cust_peak,top_actual_hub_peak,vol_july4,ifr_july4,delivery_rel_july4,o2d_stated_july4,o2d_actual_july4,o2d_gap_july4,gain_july4,mi_to_cust_july4,top_actual_hub_july4,vol_july5,ifr_july5,delivery_rel_july5,o2d_stated_july5,o2d_actual_july5,o2d_gap_july5,gain_july5,mi_to_cust_july5,top_actual_hub_july5,ifr_delta_july4_vs_peak,del_delta_july4_vs_peak,o2d_actual_delta_july4_vs_peak,built_july4,built_july5
110021,SwissMadison® CA 92570,32766,SwissMadison®,Plumbing,7.0,1.0,1.0,10.285714285714286,8.571428571428571,-1.7142857142857153,0.9599609045151486,87.81428571428572,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
406898,     JLCA6,103176,shenzhen jiejiegao wangluokejiyouxiangongsi,APS Upholstery,7.0,1.0,1.0,9.571428571428571,7.857142857142857,-1.7142857142857144,0.9723184130769711,49.957142857142856,Chicago Loop,,,,,,,,,,,,,,,,,,,,,,False,False
36871,Andrew Home Studio,36871,Andrew Home Studio,Casegoods,7.0,0.5714285714285714,0.14285714285714285,10.571428571428571,11.142857142857142,0.5714285714285712,0.9634164181260566,77.21428571428571,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
329671,huainanshiliyuhuwaiyongpinyouxiangongsi CA 90703,329668,huainanshiliyuhuwaiyongpinyouxiangongsi,Wayfair,7.0,0.42857142857142855,0.8571428571428571,9.0,7.571428571428571,-1.4285714285714288,0.9627123688045417,76.71428571428571,Champaign,,,,,,,,,,,,,,,,,,,,,,False,False
330129,"Foshan Lujiao Cross-border E-commerce Co., Ltd. CA 90638",330117,"Foshan Lujiao Cross-border E-commerce Co., Ltd.",Wayfair,7.0,1.0,1.0,9.571428571428571,8.285714285714286,-1.2857142857142847,0.9508319042198166,97.02857142857144,Columbus,,,,,,,,,,,,,,,,,,,,,,False,False
63834,M4H SRI,51878,Made4home,APS SEA,7.0,0.7142857142857143,1.0,9.428571428571429,8.428571428571429,-1.0,0.94250557476564,101.94285714285714,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
310855,Espiron Optimum Inc CA 92337(2),296653,Espiron Optimum Inc,Casegoods,7.0,1.0,0.8571428571428571,8.285714285714286,6.571428571428571,-1.7142857142857153,0.9336071442498526,119.08571428571427,East Cleveland,,,,,,,,,,,,,,,,,,,,,,False,False
225818,"YIWU QIANXIN IMPORTEXPORT CO.,LTD CA-Storm 91761 ",156977,"YIWU QIANXIN IMPORT&EXPORT CO.,LTD",APS,7.0,1.0,1.0,8.714285714285714,6.571428571428571,-2.1428571428571423,0.9761738303540296,50.557142857142864,Columbus Local,,,,,,,,,,,,,,,,,,,,,,False,False
221360,M & Y Traders Global LLC CA 90746,221359,M & Y Traders Global LLC,Youth Furniture & Decor,7.0,1.0,1.0,11.285714285714286,7.285714285714286,-4.000000000000001,0.9675730144900145,70.28571428571429,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
177898,Atlas International CA 92649,5377,"JG Group, Inc.",Plumbing,7.0,0.42857142857142855,0.8571428571428571,8.714285714285714,8.285714285714286,-0.42857142857142705,0.9811823067430897,39.114285714285714,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
348798,MagicAmazingInc. CA 90040,123700,MagicAmazingInc.,APS Home Improvement,7.0,1.0,1.0,9.0,8.428571428571429,-0.5714285714285712,0.9817857949604971,36.25714285714285,Chicago Loop,,,,,,,,,,,,,,,,,,,,,,False,False
366893,"Jiangmen Bohan trading Co., LTD CA 91762",284276,"Jiangmen Bohan trading Co., LTD",APS Home Improvement,7.0,1.0,1.0,9.571428571428571,6.857142857142857,-2.7142857142857144,0.9690421232875346,65.98571428571428,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
321983,"Qingdao Docool Technology Co., Ltd CA 91761 ",98174,"Qingdao Docool Technology Co., Ltd",APS,7.0,0.42857142857142855,1.0,10.142857142857142,8.0,-2.1428571428571423,0.9556895164590398,85.31428571428572,Romeoville Rsf,,,,,,,,,,,,,,,,,,,,,,False,False
449676,deconovo CA 90631,56072,deconovo,APS Soft Home,7.0,1.0,1.0,11.285714285714286,8.714285714285714,-2.571428571428573,0.9685278306086003,67.81428571428572,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
363215,ONT5,202881,fanfei zhejiang xincailiao youxian gongsi,APS Decor,7.0,1.0,0.8571428571428571,8.857142857142858,7.571428571428571,-1.2857142857142865,0.971345071645762,62.1857142857143,Toledo,,,,,,,,,,,,,,,,,,,,,,False,False
449192,"yiwu panting Electronic commerce co., LTD CA 91761",435218,"yiwu panting Electronic commerce co., LTD",APS Decor,7.0,1.0,1.0,10.714285714285714,8.571428571428571,-2.1428571428571423,0.9730268226872838,60.285714285714285,Toledo,,,,,,,,,,,,,,,,,,,,,,False,False
173496,COSUTE LLC CA,71264,COSUTE LLC,Soft Home,7.0,0.5714285714285714,0.7142857142857143,8.714285714285714,7.857142857142857,-0.8571428571428568,0.9792609529094074,44.97142857142857,Maple Grove,,,,,,,,,,,,,,,,,,,,,,False,False
57878,Signare USA,57878,Signare USA,Soft Home,7.0,1.0,0.8571428571428571,9.0,8.285714285714286,-0.7142857142857135,0.9831929727215913,35.91428571428571,Columbus,,,,,,,,,,,,,,,,,,,,,,False,False
363181,Henanshengxiaolanghuaxinxijishuyouxiangongsi CA 90660,361269,Henanshengxiaolanghuaxinxijishuyouxiangongsi,Wayfair,7.0,0.8571428571428571,0.7142857142857143,9.714285714285714,9.142857142857142,-0.5714285714285712,0.9434070695914657,119.11428571428573,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
293571,fuzhoutongtuomaoyiyouxiangongsi CA 91702,292376,fuzhoutongtuomaoyiyouxiangongsi,Wayfair,7.0,1.0,0.8571428571428571,9.142857142857142,7.857142857142857,-1.2857142857142856,0.959249377677606,85.35714285714286,Toledo,,,,,,,,,,,,,,,,,,,,,,False,False
363155,QingDaoPianKeZhiQianKeJiYouXianGongSi CA 91761,304357,QingDaoPianKeZhiQianKeJiYouXianGongSi,APS Youth,7.0,0.5714285714285714,0.7142857142857143,9.0,8.428571428571429,-0.5714285714285712,0.9785721429134376,43.771428571428565,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
349497,MagicAmazingInc. CA 91761,123700,MagicAmazingInc.,APS Home Improvement,7.0,1.0,1.0,9.142857142857142,7.857142857142857,-1.2857142857142856,0.9884412993437743,23.1,Greenwood,,,,,,,,,,,,,,,,,,,,,,False,False
349132,shen zhen shi qian bao ge mao yi you xian CA 92376,304209,"Puze Technology (Hong Kong) Co., Limited",APS Home Improvement,7.0,0.8571428571428571,0.8571428571428571,8.857142857142858,7.285714285714286,-1.571428571428572,0.9772779876286576,42.142857142857146,Greenwood,,,,,,,,,,,,,,,,,,,,,,False,False
